Year,Residential,Commercial,Industrial,Transportation,Total,Direct Use,Total End Use,Total Electric Industry
2008,1380661745,1336133485,1009516178,7653211,3733964619,132196685,3866161304,
2009,1364758153,1306852524,917416468,7767989,3596795134,126937958,3723733092,
2010,1445708403,1330199364,971221189,7712412,3754841368,131910249,3886751617,
2011,1422801093,1328057439,991315564,7672084,3749846180,132754037,3882600217,
2012,1374514708,1327101196,985713854,7320028,3694649786,137656510,3832306296,
2013,1394812129,1337078777,985351874,7625041,3724867821,143461937,3868329758,
2014,1407208311,1352158263,997576138,7757555,3764700267,138573884,3903274151,
2015,1404096499,1360751527,986507732,7636632,3758992390,141167519,3900159909,
2016,1411058153,1367191386,976715181,7496910,3762461630,139844397,3902306027,
2017,1378647742,1352887694,984297945,7522593,3723355974,141114442,3864470416,
2018,1469093059,1381754845,1000672553,7664804,3859185261,144113808,4003299069,
