States,Residential,,Commercial,,Industrial,,Transportation,,All Sectors_cents per Kwh,
,,,,,,,,,,
Connecticut,21.73,23.1,16.51,17.6,13.03,13.85,10.67,16.39,18.66,19.52
Maine,16.91,18.18,12.64,12.4,8.53,9.24,--,--,13.28,14.26
Massachusetts,21.01,21.36,15.18,16.53,13.87,14.25,5.26,5.2,17.41,17.89
New Hampshire,19,20.34,15.26,15.65,12.72,12.66,--,--,16.46,16.88
Rhode Island,19.28,20.29,14.98,15.81,15.15,15.11,41.13,18.05,16.82,17.46
Vermont,19.67,17.52,16.96,16.16,11.16,10.96,--,--,16.58,15.25
,,,,,,,,,,
New Jersey,15.85,15.97,13.5,12.96,10.52,10.78,9.26,9.55,14.28,14.02
New York,19.11,18.52,15.7,14.82,5.59,5.31,13.52,12.95,15.85,14.82
Pennsylvania,13.61,14.08,8.45,8.58,6.08,6.18,7.72,6.91,9.63,9.6
,,,,,,,,,,
Illinois,12.72,13.24,9.25,8.94,6.48,6.07,6.32,7.73,9.84,9.46
Indiana,12.61,12.61,11.01,10.81,7.06,7.34,10.38,11.28,10.07,9.89
Michigan,16.72,16.08,12.32,11.63,8.18,7.1,12.21,10.59,13.16,11.62
Ohio,12.06,12.71,9.48,9.8,5.88,6.16,7.05,7.31,9.4,9.6
Wisconsin,15,15.32,11.68,11.26,8.14,7.82,17.46,15.03,11.69,11.19
,,,,,,,,,,
Iowa,13.5,14.57,10.4,11.52,6.84,7.92,--,--,9.65,10.51
Kansas,12.88,13.3,10.73,10.75,7.4,7.48,--,--,10.9,10.85
Minnesota,14.2,13.9,11.85,11.1,9.15,8.01,8.88,10.44,12.03,11
Missouri,12.74,12.82,10.35,10.6,7.43,7.82,10.84,11.48,11.08,11.18
Nebraska,11.42,12.43,9.74,9.77,7.81,7.97,--,--,9.62,9.97
North Dakota,12.09,12.47,9.76,9.68,7.87,8.61,--,--,9.38,9.7
South Dakota,12.18,12.79,9.65,10.02,8.12,7.96,--,--,10.3,10.48
,,,,,,,,,,
Delaware,13.22,12.5,9.57,9.1,6.9,7.25,--,--,10.74,10.2
,,,,,,,,,,
Florida,11.53,12.02,9.04,9.49,7.15,7.79,7.57,8.27,10.35,10.76
Georgia,12.71,12.46,10,9.59,5.71,5.84,6.2,6.23,10.35,10.04
Maryland,12.84,13.26,9.57,9.83,7.59,7.61,7.83,7.34,11.01,11.19
North Carolina,11.45,11.59,8.73,8.74,6.4,6.38,8.07,8.25,9.6,9.53
South Carolina,12.58,12.81,10.25,10.46,6.03,6.25,--,--,9.99,10.1
Virginia,12.38,12.56,7.61,8.35,6.47,6.89,9.99,8.53,9.47,9.76
West Virginia,11.98,11.68,9.34,8.93,6.22,6.04,--,--,8.8,8.46
,,,,,,,,,,
Alabama,12.93,12.77,11.84,11.48,6.22,6.05,--,--,10.38,10.05
Kentucky,10.85,11.15,10.15,10.33,5.11,5.55,--,--,8.61,8.83
Mississippi,11.21,11.4,10.25,10.35,5.51,5.66,--,--,9.18,9.28
Tennessee,10.92,11.05,10.75,10.67,5.41,5.86,--,--,9.82,9.93
,,,,,,,,,,
Arkansas,10.67,10.35,8.97,8.97,6.21,6.17,10.73,11.94,8.7,8.46
Louisiana,9.5,9.66,8.42,8.68,4.7,5.24,7.82,9.65,7.48,7.77
Oklahoma,10.24,10.5,7.97,8.33,4.57,5.06,--,--,7.92,8.13
Texas,11.99,12,7.7,7.73,5.09,5.27,6.57,6.38,8.79,8.68
,,,,,,,,,,
Arizona,12.77,12.84,11.02,10.93,6.32,6.37,10.97,11.08,11.23,11.15
Colorado,12.96,12.84,11.47,10.96,7.49,7.63,8.89,9.16,10.94,10.61
Idaho,10.5,10.29,8.47,8.12,7.07,7.1,--,--,8.36,8.21
Montana,12,12.06,10.88,10.67,4.67,4.62,--,--,9.06,8.81
Nevada,11.19,11.8,7.35,8.21,6.59,7.12,8.76,8.8,8.76,9.14
New Mexico,13.48,13.14,10.9,10.55,5.46,5.31,--,--,9.9,9.45
Utah,10.91,10.74,9.19,9.19,6.34,6.35,10.66,10.62,8.9,8.76
Wyoming,11.81,11.88,10.29,10.28,6.91,6.56,--,--,8.54,8.19
,,,,,,,,,,
California,19.79,20.87,19.15,18.39,16.17,15.04,10.09,8.67,18.78,18.54
Oregon,11.32,11.27,8.96,8.74,6.18,6.11,9.53,9.31,9.08,8.87
Washington,9.92,9.9,9.05,8.75,4.83,4.59,10.37,9.51,8.21,7.84
,,,,,,,,,,
Alaska,23.85,23.51,20.45,20.45,17.55,17.06,--,--,20.89,20.62
Hawaii,29.03,32.45,27.04,29.72,22.4,25.9,--,--,26.03,29.04
