,State,2020 price,2019 price,2018 price,2017 price,2016 price,2015 price,2020 so far sales,2019 sales,2018 sales,2017 sales,2016 sales,2015 sales
0,AL,9.73,9.88,9.63,9.83,9.56,9.33,39555.42529,87734.82971,90280.45601,86241.73002,88225.14099,88845.54301
1,AK,20.15,20.43,19.36,19.1,17.93,17.59,3004.94888,5840.97456,5972.46697,6185.799,6123.20203,6159.204
2,AZ,10.3,10.64,10.85,10.64,10.33,10.34,36209.02713,77720.3875,78346.30198,77646.26201,78237.82802,77349.41596
3,AR,8.09,8.13,7.78,8.26,8.13,8.19,21469.48132,47916.95892,49602.70799,46085.95101,46188.43801,46465.15401
4,CA,17.03,17.04,16.58,16.06,15.23,15.42,112830.38146,247679.77249,255224.27196,257267.93701,256846.63497,261170.43698
5,CO,9.93,10.02,10.02,9.99,9.83,9.94,26800.34199,56271.64572,56450.48002,54830.186,54802.03701,54116.04599
6,CT,19.51,18.75,18.41,17.55,17.24,17.77,12831.14497,27754.65181,28833.92499,28135.52999,28931.08701,29476.15502
7,DE,10.62,10.64,10.55,10.9,11.09,11.17,5165.817569999999,11236.91617,11773.09999,11128.60301,11258.43802,11498.205
8,FL,10.12,10.7,10.32,10.42,9.91,10.49,110212.47263999999,237728.48947,238565.39101,233154.54901,235721.82202,235599.39799
9,GA,9.51,9.53,9.62,9.83,9.59,9.62,62055.9027,138087.8161,139866.07398,133456.62002,138112.23899,135878.21498
10,HI,28.8,28.83,29.18,26.05,23.87,26.17,4175.18391,9389.96422,9337.16099,9324.201,9445.38899,9511.35201
11,ID,7.84,7.91,8.17,8.26,8.08,8.09,11506.27204,23814.22517,23753.508,23793.78998,23062.961,23058.81399
12,IL,9.62,9.45,9.6,9.49,9.38,9.4,63292.87476,137196.06838,142654.80803,137196.31002,141050.40899,138619.97001
13,IN,9.69,9.84,9.75,9.77,9.22,8.99,44732.7972,97286.43536,104194.376,98965.96799,103704.82099,104514.51797
14,IA,9.05,9.36,8.92,8.73,8.55,8.35,24298.59618,50023.18972,51210.655,48921.99695,48431.19301,47147.29286
15,KS,10.28,10.25,10.72,10.6,10.49,10.14,17969.71695,40154.06791,42036.97905,40287.78699,40810.174,39849.12703
16,KY,8.52,8.53,8.52,8.57,8.42,8.14,33954.07636,73406.84663,76610.63598,72634.38697,74553.575,76038.62997
17,LA,7.21,7.65,7.71,7.79,7.46,7.65,41874.43008,90602.17181,94186.072,91205.93502,91452.65903,91676.48903
